game_id,player_a,player_b,first_mover,result,num_moves,avg_move_time_a,avg_move_time_b,error
game_03844,opus47_t5,gemini_t2,opus47_t5,player_a_win,1,2.003,0.000,crash:gemini_t2:no_next_move
game_03845,gemini_t2,opus47_t6,gemini_t2,player_b_win,0,0.000,0.000,crash:gemini_t2:no_next_move
game_03846,gemini_t2,opus47_t6,gemini_t2,player_b_win,0,0.000,0.000,crash:gemini_t2:no_next_move
game_03847,opus47_t6,gemini_t2,opus47_t6,player_a_win,1,2.203,0.000,crash:gemini_t2:no_next_move
game_03848,opus47_t6,gemini_t2,opus47_t6,player_a_win,1,2.203,0.000,crash:gemini_t2:no_next_move
game_03849,gemini_t2,opus47_t7,gemini_t2,player_b_win,0,0.000,0.000,crash:gemini_t2:no_next_move
game_03850,gemini_t2,opus47_t7,gemini_t2,player_b_win,0,0.000,0.000,crash:gemini_t2:no_next_move
game_03851,opus47_t7,gemini_t2,opus47_t7,player_a_win,1,2.603,0.000,crash:gemini_t2:no_next_move
game_03852,opus47_t7,gemini_t2,opus47_t7,player_a_win,1,2.603,0.000,crash:gemini_t2:no_next_move
game_03853,gemini_t2,opus47_t8,gemini_t2,player_b_win,0,0.000,0.000,crash:gemini_t2:no_next_move
game_03854,gemini_t2,opus47_t8,gemini_t2,player_b_win,0,0.000,0.000,crash:gemini_t2:no_next_move
game_03855,opus47_t8,gemini_t2,opus47_t8,player_a_win,1,1.302,0.000,crash:gemini_t2:no_next_move
game_03856,opus47_t8,gemini_t2,opus47_t8,player_a_win,1,1.402,0.000,crash:gemini_t2:no_next_move
game_03857,gemini_t3,opus47_t1,gemini_t3,player_b_win,36,1.302,2.181,
game_03858,gemini_t3,opus47_t1,gemini_t3,player_b_win,36,1.314,2.186,
game_03859,opus47_t1,gemini_t3,opus47_t1,player_a_win,19,2.233,1.314,
game_03860,opus47_t1,gemini_t3,opus47_t1,player_a_win,19,2.233,1.313,
game_03861,gemini_t3,opus47_t2,gemini_t3,player_b_win,28,1.296,1.552,
game_03862,gemini_t3,opus47_t2,gemini_t3,player_b_win,28,1.295,1.545,
game_03863,opus47_t2,gemini_t3,opus47_t2,player_a_win,7,1.252,1.303,
game_03864,opus47_t2,gemini_t3,opus47_t2,player_a_win,7,1.252,1.302,
game_03865,gemini_t3,opus47_t3,gemini_t3,player_b_win,26,1.303,1.556,
game_03866,gemini_t3,opus47_t3,gemini_t3,player_b_win,26,1.302,1.556,
game_03867,opus47_t3,gemini_t3,opus47_t3,player_a_win,37,1.529,1.308,
game_03868,opus47_t3,gemini_t3,opus47_t3,player_a_win,37,1.534,1.303,
game_03869,gemini_t3,opus47_t4,gemini_t3,player_b_win,20,1.303,1.112,
game_03870,gemini_t3,opus47_t4,gemini_t3,player_b_win,20,1.302,1.122,
game_03871,opus47_t4,gemini_t3,opus47_t4,player_a_win,19,1.122,1.291,
game_03872,opus47_t4,gemini_t3,opus47_t4,player_a_win,19,1.132,1.291,
game_03873,gemini_t3,opus47_t5,gemini_t3,player_b_win,32,1.303,1.677,
game_03874,gemini_t3,opus47_t5,gemini_t3,player_b_win,32,1.290,1.677,
game_03875,opus47_t5,gemini_t3,opus47_t5,player_a_win,17,1.814,1.290,
game_03876,opus47_t5,gemini_t3,opus47_t5,player_a_win,17,1.791,1.290,
game_03877,gemini_t3,opus47_t6,gemini_t3,player_b_win,34,1.303,2.109,
game_03878,gemini_t3,opus47_t6,gemini_t3,player_b_win,34,1.303,2.103,
game_03879,opus47_t6,gemini_t3,opus47_t6,player_a_win,35,2.092,1.308,
game_03880,opus47_t6,gemini_t3,opus47_t6,player_a_win,35,2.086,1.314,
game_03881,gemini_t3,opus47_t7,gemini_t3,player_b_win,14,1.302,2.275,
game_03882,gemini_t3,opus47_t7,gemini_t3,player_b_win,14,1.288,2.274,
game_03883,opus47_t7,gemini_t3,opus47_t7,player_a_win,19,2.283,1.303,
game_03884,opus47_t7,gemini_t3,opus47_t7,player_a_win,19,2.273,1.303,
game_03885,gemini_t3,opus47_t8,gemini_t3,player_b_win,34,1.314,1.243,
game_03886,gemini_t3,opus47_t8,gemini_t3,player_b_win,22,1.303,1.256,
game_03887,opus47_t8,gemini_t3,opus47_t8,player_a_win,19,1.212,1.314,
game_03888,opus47_t8,gemini_t3,opus47_t8,player_a_win,19,1.232,1.303,
game_03889,gemini_t4,opus47_t1,gemini_t4,player_b_win,36,1.025,2.236,
game_03890,gemini_t4,opus47_t1,gemini_t4,player_b_win,36,1.008,2.236,
game_03891,opus47_t1,gemini_t4,opus47_t1,player_a_win,31,2.203,0.989,
game_03892,opus47_t1,gemini_t4,opus47_t1,player_a_win,31,2.203,1.002,
game_03893,gemini_t4,opus47_t2,gemini_t4,player_b_win,40,0.962,1.427,
game_03894,gemini_t4,opus47_t2,gemini_t4,player_b_win,40,0.967,1.432,
game_03895,opus47_t2,gemini_t4,opus47_t2,player_a_win,33,1.378,0.959,
game_03896,opus47_t2,gemini_t4,opus47_t2,player_a_win,33,1.378,0.952,
game_03897,gemini_t4,opus47_t3,gemini_t4,player_b_win,32,0.983,1.521,
game_03898,gemini_t4,opus47_t3,gemini_t4,player_b_win,32,0.977,1.521,
game_03899,opus47_t3,gemini_t4,opus47_t3,player_a_win,33,1.561,0.983,
game_03900,opus47_t3,gemini_t4,opus47_t3,player_a_win,33,1.555,0.983,
game_03901,gemini_t4,opus47_t4,gemini_t4,player_b_win,34,0.979,1.049,
game_03902,gemini_t4,opus47_t4,gemini_t4,player_b_win,34,0.979,1.055,
game_03903,opus47_t4,gemini_t4,opus47_t4,player_a_win,33,1.060,0.990,
game_03904,opus47_t4,gemini_t4,opus47_t4,player_a_win,33,1.078,0.984,
game_03905,gemini_t4,opus47_t5,gemini_t4,player_b_win,34,0.990,1.855,
game_03906,gemini_t4,opus47_t5,gemini_t4,player_b_win,34,0.990,1.844,
game_03907,opus47_t5,gemini_t4,opus47_t5,player_a_win,37,1.776,0.980,
game_03908,opus47_t5,gemini_t4,opus47_t5,player_a_win,37,1.792,0.986,
game_03909,gemini_t4,opus47_t6,gemini_t4,player_b_win,36,0.997,2.058,
game_03910,gemini_t4,opus47_t6,gemini_t4,player_b_win,36,1.002,2.075,
game_03911,opus47_t6,gemini_t4,opus47_t6,player_a_win,25,2.111,1.019,
game_03912,opus47_t6,gemini_t4,opus47_t6,player_a_win,25,2.095,1.028,
game_03913,gemini_t4,opus47_t7,gemini_t4,player_b_win,40,0.972,2.248,
game_03914,gemini_t4,opus47_t7,gemini_t4,player_b_win,40,0.972,2.238,
game_03915,opus47_t7,gemini_t4,opus47_t7,player_a_win,39,2.173,0.976,
game_03916,opus47_t7,gemini_t4,opus47_t7,player_a_win,39,2.178,0.965,
game_03917,gemini_t4,opus47_t8,gemini_t4,player_b_win,40,0.982,1.182,
game_03918,gemini_t4,opus47_t8,gemini_t4,player_b_win,40,0.972,1.202,
game_03919,opus47_t8,gemini_t4,opus47_t8,player_a_win,41,1.207,0.972,
game_03920,opus47_t8,gemini_t4,opus47_t8,player_a_win,41,1.226,0.982,
